Section,Standard,Indicator
Room & Building,Building Structure,The laboratory building is structurally sound and properly maintained
Room & Building,Building Structure,Floors are smooth and easy to clean
Room & Building,Building Structure,Walls are smooth and washable
Room & Building,Building Structure,Ceilings are intact without cracks or leaks
Room & Building,Building Structure,Adequate lighting throughout the facility
Room & Building,Space Requirements,Sufficient space for all laboratory activities
Room & Building,Space Requirements,Separate areas for specimen collection and processing
Room & Building,Space Requirements,Designated area for waste management
Room & Building,Space Requirements,Adequate storage space for supplies and reagents
Room & Building,Space Requirements,Space for equipment maintenance and calibration
Room & Building,Ventilation,Adequate natural or mechanical ventilation
Room & Building,Ventilation,Windows are screened to prevent entry of insects
Room & Building,Ventilation,Exhaust fans in areas generating fumes
Room & Building,Ventilation,Proper air circulation throughout the laboratory
Room & Building,Safety Features,Emergency exits clearly marked and accessible
Room & Building,Safety Features,Fire extinguishers available and serviceable
Room & Building,Safety Features,First aid kit accessible
Room & Building,Safety Features,Eye wash station available where chemicals are used
Room & Building,Safety Features,Emergency shower if hazardous chemicals used
Room & Building,Safety Features,Spill kits available for chemical and biological spills
Laboratory Services,Testing Services,Tests performed match facility registration
Laboratory Services,Testing Services,Test menu displayed and available to clients
Laboratory Services,Testing Services,Referral procedures documented
Laboratory Services,Testing Services,Turn-around times established for each test
Laboratory Services,Testing Services,Critical results reporting procedure in place
Laboratory Services,Quality Control,Daily quality control performed for all tests
Laboratory Services,Quality Control,QC records maintained and reviewed
Laboratory Services,Quality Control,QC failures documented and investigated
Laboratory Services,Quality Control,Corrective actions taken for QC failures
Laboratory Services,Quality Control,External quality assessment participation
Laboratory Services,Equipment,Equipment inventory maintained
Laboratory Services,Equipment,Preventive maintenance schedule exists
Laboratory Services,Equipment,Equipment cleaning logs maintained
Laboratory Services,Equipment,Thermometers calibrated and monitored
Laboratory Services,Equipment,Refrigerators monitored daily
Laboratory Services,Equipment,Equipment operating manuals available
Laboratory Services,Reagents & Supplies,Reagents stored at proper temperature
Laboratory Services,Reagents & Supplies,Expiry dates monitored
Laboratory Services,Reagents & Supplies,Reagents properly labeled
Laboratory Services,Reagents & Supplies,MSDS available for all chemicals
Laboratory Services,Reagents & Supplies,Inventory system for reagents and supplies
Personnel,Staffing,Adequate number of qualified staff
Personnel,Staffing,Staff qualifications documented
Personnel,Staffing,Job descriptions available for all positions
Personnel,Staffing,Duty rosters maintained
Personnel,Staffing,Leave records maintained
Personnel,Training,Training plan exists for all staff
Personnel,Training,Training records maintained
Personnel,Training,New staff receive orientation
Personnel,Training,Continuing education opportunities provided
Personnel,Training,Competency assessment performed annually
Personnel,Health & Safety,Staff immunization records maintained
Personnel,Health & Safety,Occupational health program exists
Personnel,Health & Safety,Personal protective equipment available
Personnel,Health & Safety,Safety training provided
Personnel,Health & Safety,Accident/incident reporting system exists
Safety & Biosafety,General Safety,Safety manual available
Safety & Biosafety,General Safety,Safety officer designated
Safety & Biosafety,General Safety,Safety committee meetings held
